# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CELF4	ENSG00000101489	ENST00000420428	protein_coding	297	1546	3235	10239	6585	92	1188	117	2	2808	3235	0	0	0	0	72	72	657	7	138	8	1	992	117
CELF5	ENSG00000161082	ENST00000292672	protein_coding	288	5612	3166	3654	1077	12	111	117	2	2808	3166	0	0	0	4077	72	72	657	7	129	8	1	1061	117
CELF6	ENSG00000140488	ENST00000287202	protein_coding	276	6650	3112	8163	4932	75	765	117	2	2808	3112	0	0	0	5022	72	72	657	7	117	8	1	1091	117
CELF6	ENSG00000273025	ENST00000569547	nonsense_mediated_decay	300	1686	3112	12270	1152	25	216	2001	2	8907	3112	0	0	0	0	84	84	765	7	117	8	1	1091	666
CELSR1	ENSG00000075275	ENST00000262738	protein_coding	1181	67649	19877	15804	7032	0	0	2331	2	7956	19688	0	0	0	59931	204	204	1845	7	758	8	1	6671	117
CELSR2	ENSG00000143126	ENST00000271332	protein_coding	1202	65416	19110	14223	5103	21	183	2682	2	7722	18957	0	0	0	57798	198	198	1791	7	792	7	2	6549	117
CELSR3	ENSG00000008300	ENST00000544264	protein_coding	1277	8997	21376	17286	5208	99	843	4608	2	8190	21376	0	0	0	0	210	210	1890	7	842	8	1	7626	117
CEMP1	ENSG00000205923	ENST00000382350	protein_coding	97	764	1579	8079	2250	133	1038	117	2	4605	1579	0	0	0	0	6	6	63	7	70	8	1	565	117
CEND1	ENSG00000184524	ENST00000330106	protein_coding	64	1812	948	15765	3069	58	528	2304	2	234	948	0	0	0	1341	6	6	63	7	38	7	2	346	9678
CENPA	ENSG00000115163	ENST00000335756	protein_coding	194	3663	940	4887	2487	78	600	117	2	936	886	0	90	0	3141	24	24	225	7	41	8	1	324	939
CENPB	ENSG00000125817	ENST00000379751	protein_coding	256	1355	3890	6027	2499	62	621	2790	2	0	3890	0	30	0	0	0	0	9	7	211	8	1	1281	117
CENPBD1	ENSG00000177946	ENST00000314994	protein_coding	88	2327	1237	13587	4683	250	1836	6951	2	0	1237	0	0	0	1701	0	0	9	7	73	8	1	364	117
CENPC	ENSG00000145241	ENST00000273853	protein_coding	679	4335	6947	6741	2406	117	753	117	2	4212	6236	0	0	0	2475	108	108	981	7	448	8	1	1794	117
CENPE	ENSG00000138778	ENST00000265148	protein_coding	2633	50478	18216	10680	1248	41	270	117	2	11232	18162	0	618	0	44037	288	288	2601	7	1424	8	1	4714	117
CENPF	ENSG00000117724	ENST00000366955	protein_coding	1908	6393	20735	6654	2382	62	504	117	2	4446	20735	0	0	0	0	114	114	1035	7	1665	8	1	5617	117
CENPH	ENSG00000153044	ENST00000283006	protein_coding	232	3491	1693	3657	1674	37	261	117	2	1872	1657	0	0	0	2754	48	48	441	7	122	7	2	435	117
CENPI	ENSG00000102384	ENST00000372927	protein_coding	615	2311	5001	9828	2142	127	831	117	2	4680	5001	0	0	0	0	120	120	1089	7	361	7	2	1433	3018
CENPJ	ENSG00000151849	ENST00000381884	protein_coding	835	3166	8991	5544	432	92	558	1467	2	3738	8937	0	0	0	54	96	96	873	7	628	8	1	2468	117
CENPK	ENSG00000123219	ENST00000242872	protein_coding	251	2209	1822	4020	2124	28	174	117	2	1872	1786	0	0	0	1431	48	48	441	7	141	7	2	485	117
CENPL	ENSG00000120334	ENST00000356198	protein_coding	263	1169	2565	8667	2694	118	858	117	2	1404	2538	0	0	0	27	36	36	333	7	176	8	1	787	3882
CENPM	ENSG00000100162	ENST00000215980	protein_coding	810	2199	1153	2433	1005	37	264	117	2	1170	1153	0	690	0	1557	30	30	279	7	45	8	1	413	117
CENPN	ENSG00000166451	ENST00000393335	protein_coding	288	1092	2399	5538	1260	32	222	1431	2	2340	2345	0	0	0	54	60	60	549	7	154	7	2	669	765
CENPO	ENSG00000138092	ENST00000260662	protein_coding	221	1459	1945	11832	1791	58	375	3909	2	2193	1936	0	0	0	477	42	42	387	7	123	7	2	632	3900
CENPP	ENSG00000188312	ENST00000375587	protein_coding	224	1915	1901	67437	22152	203	1545	117	2	41619	1883	0	0	0	891	42	42	387	7	125	8	1	575	2340
CENPQ	ENSG00000031691	ENST00000335783	protein_coding	237	1420	1831	6507	2496	44	282	117	2	1872	1786	0	0	0	612	48	48	441	7	127	7	2	490	2124
CENPT	ENSG00000102901	ENST00000219172	protein_coding	320	1753	3585	11172	318	15	111	8394	2	2808	3585	0	0	0	0	72	72	657	7	161	8	1	1294	117
CENPU	ENSG00000151725	ENST00000281453	protein_coding	355	3261	2862	5835	2010	25	213	1263	2	2808	2754	0	0	0	2097	72	72	657	7	196	8	1	803	117
CENPV	ENSG00000166582	ENST00000299736	protein_coding	155	1288	1789	2016	849	16	189	117	2	936	1753	0	0	0	558	24	24	225	7	92	8	1	594	117
CENPW	ENSG00000203760	ENST00000368325	protein_coding	84	348	657	1254	348	48	300	117	2	468	657	0	0	0	0	12	12	117	7	45	8	1	216	117
CEP104	ENSG00000116198	ENST00000378230	protein_coding	663	5776	6076	17238	9963	122	975	117	2	4914	6076	0	0	0	3024	126	126	1143	7	396	8	1	1844	2277
CEP112	ENSG00000154240	ENST00000392769	protein_coding	835	2777	6359	7017	1290	92	657	117	2	6084	6359	0	0	0	0	156	156	1413	7	509	7	2	1718	117
CEP120	ENSG00000168944	ENST00000306467	protein_coding	1374	2747	6471	9585	4902	122	915	117	2	4446	6471	0	666	0	0	114	114	1035	7	466	7	2	1928	117
CEP128	ENSG00000100629	ENST00000281129	protein_coding	857	12260	7283	8040	3015	81	513	117	2	5382	7229	0	0	0	9333	138	138	1251	7	567	7	2	2041	117
CEP135	ENSG00000174799	ENST00000257287	protein_coding	925	16569	7555	11286	6045	59	372	117	2	5835	7519	0	0	0	13476	150	150	1359	7	611	7	2	2121	117
CEP152	ENSG00000103995	ENST00000380950	protein_coding	1223	11494	11468	6576	942	86	564	117	2	6084	11414	0	0	0	7425	156	156	1413	7	897	7	2	3070	117
CEP164	ENSG00000110274	ENST00000278935	protein_coding	1002	15479	9600	9927	3300	56	441	117	2	7488	9555	0	0	0	11295	192	192	1737	7	603	8	1	2973	117
CEP170	ENSG00000143702	ENST00000366542	protein_coding	1401	20657	10767	11433	6063	20	156	117	2	5103	10416	0	510	0	17091	114	114	1035	7	648	8	1	3183	906
CEP170B	ENSG00000099814	ENST00000453495	protein_coding	632	4347	10303	9615	5349	72	684	117	2	4212	10303	0	0	0	0	108	108	981	7	401	8	1	3597	117
CEP19	ENSG00000174007	ENST00000409690	protein_coding	120	576	1119	7059	3822	180	1269	117	2	468	1119	0	0	0	0	12	12	117	7	81	8	1	294	1479
CEP192	ENSG00000101639	ENST00000506447	protein_coding	1593	6771	16760	11715	798	35	240	117	2	10296	16652	0	0	0	108	264	264	2385	7	1051	7	2	5121	2376
CEP250	ENSG00000126001	ENST00000397527	protein_coding	1539	6574	15872	9765	1047	303	2160	117	2	7956	15872	0	0	0	0	204	204	1845	7	1116	8	1	4981	117
CEP290	ENSG00000198707	ENST00000309041	protein_coding	2049	6338	16562	17820	0	49	294	4539	2	14604	16562	0	0	0	0	318	318	2871	7	1399	7	2	4359	927
CEP350	ENSG00000135837	ENST00000367607	protein_coding	1925	15638	20760	19527	11157	160	1254	117	2	8658	20562	0	0	0	8298	222	222	2007	7	1466	8	1	6016	117
CEP41	ENSG00000106477	ENST00000223208	protein_coding	276	2828	2452	18267	15360	99	813	117	2	2340	2434	0	0	0	1602	60	60	549	7	142	7	2	772	117
CEP44	ENSG00000164118	ENST00000426172	protein_coding	286	1420	2663	7233	5355	25	156	117	2	1872	2645	0	0	0	351	48	48	441	7	176	7	2	761	117
CEP55	ENSG00000138180	ENST00000371485	protein_coding	376	9145	3161	5451	2817	130	912	117	2	1872	3035	0	0	0	7956	48	48	441	7	265	8	1	867	117
CEP57	ENSG00000166037	ENST00000325542	protein_coding	389	11901	3377	18792	4311	103	714	8826	2	2340	3314	0	0	0	10566	60	60	549	7	254	8	1	923	3081
CEP57L1	ENSG00000183137	ENST00000368970	protein_coding	378	1248	3204	6141	588	21	150	117	2	2340	3204	0	0	0	0	60	60	549	7	244	7	2	836	3426
CEP63	ENSG00000182923	ENST00000337090	protein_coding	535	1889	4689	14757	10479	78	519	117	2	3276	4689	0	0	0	0	84	84	765	7	352	8	1	1277	1038
CEP68	ENSG00000011523	ENST00000377990	protein_coding	329	2091	4900	18279	10110	84	609	6327	2	1404	4873	0	0	0	81	36	36	333	7	243	7	2	1688	117
CEP70	ENSG00000114107	ENST00000264982	protein_coding	545	1834	3981	6210	2013	117	801	117	2	3978	3981	0	0	0	0	102	102	927	7	326	8	1	1057	117
CEP72	ENSG00000112877	ENST00000264935	protein_coding	396	5205	4273	3750	1200	31	270	117	2	2574	4228	0	0	0	3474	66	66	603	7	249	8	1	1337	117
CEP76	ENSG00000101624	ENST00000262127	protein_coding	446	1853	4272	7257	2199	85	678	117	2	2754	4263	0	0	0	9	66	66	603	7	299	8	1	1360	2037
CEP78	ENSG00000148019	ENST00000376597	protein_coding	484	3051	4768	4371	915	59	432	117	2	3510	4732	0	0	0	1008	90	90	819	7	289	8	1	1468	117
CEP85	ENSG00000130695	ENST00000252992	protein_coding	503	7110	5087	15450	4545	61	393	7977	2	3042	5006	0	0	0	5121	78	78	711	7	332	8	1	1511	117
CEP85L	ENSG00000111860	ENST00000368488	protein_coding	601	5869	5359	23196	13872	27	201	117	2	9513	5341	0	0	0	3870	78	78	711	7	430	8	1	1492	117
CEP89	ENSG00000121289	ENST00000305768	protein_coding	582	8385	5198	8517	498	44	267	117	2	4212	5171	0	0	0	6192	108	108	981	7	351	8	1	1516	4287
CEP95	ENSG00000258890	ENST00000556440	protein_coding	639	4455	5469	13179	489	201	1530	117	2	4446	5415	0	0	0	2043	114	114	1035	7	396	8	1	1569	7509
CEP97	ENSG00000182504	ENST00000327230	protein_coding	536	2181	5862	17412	15030	14	102	117	2	2574	5862	0	0	0	0	66	66	603	7	389	8	1	1759	117
CEPT1	ENSG00000134255	ENST00000357172	protein_coding	264	3442	2766	10404	2376	58	465	3678	2	1872	2730	0	0	0	2250	48	48	441	7	154	7	2	851	2397
CER1	ENSG00000147869	ENST00000380911	protein_coding	115	3805	1790	1653	1098	19	135	117	2	234	1772	0	0	0	3222	6	6	63	7	88	8	1	534	117
CERCAM	ENSG00000167123	ENST00000372838	protein_coding	335	2119	3927	5157	1497	135	1194	117	2	2808	3873	0	0	0	288	72	72	657	7	176	8	1	1297	117
CERK	ENSG00000100422	ENST00000216264	protein_coding	355	5908	3536	12234	8169	34	339	1377	2	2808	3518	0	0	0	4338	72	72	657	7	196	8	1	1110	117
CERKL	ENSG00000188452	ENST00000339098	protein_coding	390	4474	3662	6270	0	0	0	3744	2	3033	3662	0	0	0	2871	78	78	711	7	220	7	2	1131	117
CERS1	ENSG00000223802	ENST00000427170	protein_coding	203	1070	2269	16029	4299	20	216	8469	2	1638	2269	0	0	0	0	42	42	387	7	104	8	1	768	1743
CERS2	ENSG00000143418	ENST00000271688	protein_coding	287	1293	2489	13059	2925	133	1161	6996	2	2340	2489	0	0	0	0	60	60	549	7	152	8	1	770	117
CERS3	ENSG00000154227	ENST00000284382	protein_coding	344	1368	2560	10692	6954	183	1272	117	2	2808	2560	0	0	0	0	72	72	657	7	185	8	1	693	117
CERS4	ENSG00000090661	ENST00000251363	protein_coding	290	1388	2563	4032	852	119	900	117	2	2574	2563	0	0	0	0	66	66	603	7	143	8	1	831	117
CERS5	ENSG00000139624	ENST00000317551	protein_coding	290	10816	2609	4443	2160	62	375	117	2	2106	2582	0	0	0	9675	54	54	495	7	168	7	2	769	117
CERS6	ENSG00000172292	ENST00000392687	protein_coding	303	9998	2604	19110	16416	68	600	117	2	2340	2586	0	0	0	8811	60	60	549	7	169	7	2	764	117
CES1	ENSG00000198848	ENST00000360526	protein_coding	383	6499	3722	3549	588	35	309	117	2	3042	3704	0	0	0	4815	78	78	711	7	212	8	1	1187	117
CES2	ENSG00000172831	ENST00000317091	protein_coding	322	2132	4092	11583	3213	393	2952	117	2	2574	4092	0	0	0	0	66	66	603	7	175	8	1	1331	3255
CES3	ENSG00000172828	ENST00000303334	protein_coding	331	2348	3756	8820	6141	36	213	117	2	2808	3747	0	0	0	666	72	72	657	7	172	8	1	1211	117
CES4A	ENSG00000172824	ENST00000326686	protein_coding	367	1638	3686	4440	1791	0	0	117	2	3039	3686	0	0	0	0	78	78	711	7	197	7	2	1157	117
CES5A	ENSG00000159398	ENST00000521992	protein_coding	379	2114	3977	3981	891	77	438	117	2	3042	3941	0	0	0	315	78	78	711	7	208	8	1	1278	117
CETN1	ENSG00000177143	ENST00000327228	protein_coding	71	1858	1165	2151	1791	16	126	117	2	0	1165	0	0	0	1512	0	0	9	7	56	8	1	318	117
CETN2	ENSG00000147400	ENST00000370277	protein_coding	227	4690	1221	4470	2604	27	201	117	2	936	1167	0	96	0	4257	24	24	225	7	69	7	2	303	804
CETN3	ENSG00000153140	ENST00000522083	protein_coding	152	576	1295	2514	1062	46	288	117	2	1170	1295	0	0	0	0	30	30	279	7	78	7	2	337	117
CETP	ENSG00000087237	ENST00000200676	protein_coding	337	8646	3292	3951	537	53	390	117	2	3510	3256	0	0	0	7047	90	90	819	7	142	8	1	1030	117
CFB	ENSG00000243649	ENST00000556679	protein_coding	828	3648	8348	16206	54	20	165	5640	2	10959	8348	0	0	0	0	174	174	1575	7	466	7	2	2571	780
CFB	ENSG00000244255	ENST00000456570	protein_coding	828	3648	8348	16206	54	20	165	5640	2	10959	8348	0	0	0	0	174	174	1575	7	466	7	2	2571	780
CFC1	ENSG00000136698	ENST00000259216	protein_coding	141	2859	1444	2286	333	100	789	117	2	1170	1435	0	0	0	2079	30	30	279	7	67	7	2	496	117
CFC1B	ENSG00000152093	ENST00000281882	protein_coding	143	2031	1446	2361	333	104	864	117	2	1170	1437	0	0	0	1251	30	30	279	7	69	7	2	492	117
CFD	ENSG00000197766	ENST00000592860	protein_coding	130	756	1655	3936	0	0	0	1059	2	936	1655	0	0	0	0	24	24	225	7	67	8	1	609	2133
CFDP1	ENSG00000153774	ENST00000283882	protein_coding	243	4535	2028	2475	726	56	399	117	2	1404	1983	0	0	0	3753	36	36	333	7	156	8	1	543	117
CFH	ENSG00000000971	ENST00000367429	protein_coding	955	3209	8066	5433	573	125	720	117	2	4914	8066	0	0	0	0	126	126	1143	7	688	8	1	2316	117
CFHR1	ENSG00000244414	ENST00000320493	protein_coding	507	8836	2144	1998	570	33	264	117	2	1170	2126	0	252	0	7974	30	30	279	7	180	8	1	655	117
CFHR2	ENSG00000080910	ENST00000367415	protein_coding	212	6681	1759	1716	438	36	300	117	2	936	1750	0	0	0	5976	24	24	225	7	149	8	1	522	117
CFHR3	ENSG00000116785	ENST00000367425	protein_coding	266	8082	2410	3120	1680	33	276	117	2	1170	2140	0	0	0	7497	30	30	279	7	192	7	2	629	117
CFHR4	ENSG00000134365	ENST00000367416	protein_coding	461	13377	4303	3240	921	60	411	117	2	2106	3772	0	0	0	12438	54	54	495	7	339	7	2	1073	117
CFHR5	ENSG00000134389	ENST00000367414	protein_coding	435	1487	3887	5049	2973	22	168	117	2	2106	3887	0	0	0	0	54	54	495	7	312	8	1	1129	117
CFI	ENSG00000205403	ENST00000394635	protein_coding	445	1604	3935	3483	591	23	240	117	2	3042	3935	0	0	0	0	78	78	711	7	275	7	2	1100	117
CFL1	ENSG00000172757	ENST00000534769	protein_coding	130	549	1339	17436	285	20	144	6045	2	3012	1339	0	0	0	0	18	18	171	7	79	8	1	409	8094
CFL2	ENSG00000165410	ENST00000298159	protein_coding	127	479	1097	8676	7434	47	450	117	2	702	1097	0	0	0	0	18	18	171	7	77	7	2	311	117
CFLAR	ENSG00000003402	ENST00000309955	protein_coding	859	1503	3171	41595	38142	211	1545	117	2	2106	3171	0	534	0	0	54	54	495	7	203	7	2	937	117
CFP	ENSG00000126759	ENST00000247153	protein_coding	329	1449	3002	4557	183	91	726	1857	2	2106	3002	0	0	0	0	54	54	495	7	207	7	2	1003	117
CFTR	ENSG00000001626	ENST00000003084	protein_coding	6179	43424	9901	10125	4659	44	396	117	2	6084	9721	0	5202	0	39672	156	156	1413	7	650	8	1	2940	117
CGA	ENSG00000135346	ENST00000369582	protein_coding	99	4013	776	1869	774	28	303	117	2	702	758	0	0	0	3636	18	18	171	7	49	7	2	228	117
CGB	ENSG00000104827	ENST00000357383	protein_coding	79	604	1048	1743	51	132	1086	117	2	468	1048	0	0	0	0	12	12	117	7	41	7	2	387	117
CGB1	ENSG00000267631	ENST00000301407	protein_coding	78	4345	998	4272	0	33	315	2700	2	999	980	0	0	0	3888	12	12	117	7	39	8	1	367	354
CGB2	ENSG00000104818	ENST00000359342	protein_coding	81	513	1025	4200	51	38	354	3306	2	468	1025	0	0	0	0	12	12	117	7	43	7	2	390	117
CGB5	ENSG00000189052	ENST00000301408	protein_coding	79	5478	1066	4983	51	119	978	3465	2	468	1048	0	0	0	4905	12	12	117	7	41	7	2	387	117
CGB7	ENSG00000196337	ENST00000377280	protein_coding	79	610	1048	6339	51	138	1095	117	2	468	1048	0	0	0	0	12	12	117	7	41	7	2	387	4704
CGB8	ENSG00000213030	ENST00000448456	protein_coding	79	607	1048	4983	51	135	1101	3342	2	468	1048	0	0	0	0	12	12	117	7	41	7	2	387	117
CGGBP1	ENSG00000163320	ENST00000309534	protein_coding	100	659	1086	13509	10587	192	1386	117	2	468	1086	0	0	0	0	12	12	117	7	61	8	1	347	1047
CGN	ENSG00000143375	ENST00000271636	protein_coding	755	3345	7764	8979	4038	41	399	705	2	4680	7764	0	0	0	0	120	120	1089	7	500	8	1	2554	117
CGNL1	ENSG00000128849	ENST00000281282	protein_coding	795	18250	8716	13527	9711	32	234	117	2	4212	8608	0	0	0	15111	108	108	981	7	564	8	1	2537	117
CGREF1	ENSG00000138028	ENST00000404694	protein_coding	210	2484	2845	7032	144	1	15	6012	2	936	2845	0	0	0	1368	24	24	225	7	147	8	1	959	117
CGRRF1	ENSG00000100532	ENST00000216420	protein_coding	241	1347	2191	2958	1398	56	396	117	2	1170	2191	0	0	0	477	30	30	279	7	166	8	1	622	117
CH17-132F21.1	ENSG00000270999	ENST00000603238	protein_coding	56	292	741	420	0	0	0	117	2	234	741	0	0	0	0	6	6	63	7	37	0	0	254	117
CH25H	ENSG00000138135	ENST00000371852	protein_coding	89	1318	1814	1911	1611	8	66	117	2	0	1787	0	0	0	747	0	0	9	7	74	8	1	578	117
CHAC1	ENSG00000128965	ENST00000446533	protein_coding	117	793	1701	3747	2214	121	927	117	2	468	1701	0	0	0	0	12	12	117	7	78	8	1	588	117
CHAC2	ENSG00000143942	ENST00000295304	protein_coding	120	547	1207	3765	2013	32	285	117	2	468	1198	0	0	0	72	12	12	117	7	82	7	2	367	978
CHAD	ENSG00000136457	ENST00000258969	protein_coding	155	5306	2333	10200	1698	27	279	5484	2	702	2333	0	0	0	4356	18	18	171	7	105	7	2	784	2181
CHADL	ENSG00000100399	ENST00000216241	protein_coding	246	11597	4787	10164	573	19	159	3663	2	4803	4769	0	0	0	9495	30	30	279	7	171	8	1	1909	1206
CHAF1A	ENSG00000167670	ENST00000301280	protein_coding	540	2455	6327	10731	1101	28	303	5700	2	3276	6327	0	0	0	0	84	84	765	7	357	8	1	1911	1023
CHAF1B	ENSG00000159259	ENST00000314103	protein_coding	364	6312	3830	11052	7947	63	453	117	2	3042	3650	0	0	0	4752	78	78	711	7	193	8	1	1179	117
CHAMP1	ENSG00000198824	ENST00000361283	protein_coding	385	11534	5808	4653	3120	135	927	117	2	468	5259	0	0	0	10134	12	12	117	7	346	8	1	1694	117
CHAT	ENSG00000070748	ENST00000337653	protein_coding	415	7538	4888	10962	174	64	459	117	2	3276	4888	0	0	0	5355	84	84	765	7	232	8	1	1603	7608
CHCHD1	ENSG00000172586	ENST00000372833	protein_coding	84	1000	774	3615	1395	7	39	1692	2	468	765	0	0	0	675	12	12	117	7	45	8	1	243	117
CHCHD10	ENSG00000250479	ENST00000401675	protein_coding	87	495	941	5133	519	20	204	3246	2	702	941	0	0	0	0	18	18	171	7	36	8	1	355	606
CHCHD2	ENSG00000106153	ENST00000395422	protein_coding	92	910	964	2127	846	76	489	117	2	702	964	0	0	0	369	18	18	171	7	42	7	2	344	117
CHCHD4	ENSG00000163528	ENST00000295767	protein_coding	131	1920	1025	5877	2421	133	975	117	2	702	1025	0	0	0	1368	18	18	171	7	81	7	2	280	1806
CHCHD5	ENSG00000125611	ENST00000409719	protein_coding	102	2151	1264	8991	8226	16	159	117	2	468	1021	0	0	0	1962	12	12	117	7	63	8	1	329	117
CHCHD6	ENSG00000159685	ENST00000508789	protein_coding	184	804	1658	2514	948	36	216	117	2	1404	1658	0	0	0	0	36	36	333	7	97	8	1	540	117
CHCHD7	ENSG00000170791	ENST00000303759	protein_coding	115	452	729	5742	3540	78	513	117	2	936	729	0	0	0	0	24	24	225	7	52	8	1	200	828
CHD1	ENSG00000153922	ENST00000284049	protein_coding	1793	15488	11616	8913	1905	73	450	117	2	7956	11382	0	480	0	11304	204	204	1845	7	891	7	2	3108	117
CHD1L	ENSG00000131778	ENST00000369258	protein_coding	661	2623	5869	5145	759	6	60	117	2	5148	5869	0	0	0	0	132	132	1197	7	383	7	2	1812	117
CHD2	ENSG00000173575	ENST00000394196	protein_coding	1343	14831	12236	20412	9906	522	3204	117	2	8892	12137	0	0	0	9576	228	228	2061	7	873	7	2	3433	117
CHD3	ENSG00000170004	ENST00000380358	protein_coding	1294	19711	13645	11016	3525	0	3	117	2	9126	13528	0	0	0	14229	234	234	2115	7	811	8	1	4183	117
CHD4	ENSG00000111642	ENST00000309577	protein_coding	1250	5262	12871	12393	1779	63	492	2937	2	8892	12871	0	0	0	0	228	228	2061	7	779	8	1	3801	117
CHD5	ENSG00000116254	ENST00000262450	protein_coding	1222	17961	13034	28461	11043	27	300	8946	2	9594	13034	0	0	0	12600	246	246	2223	7	715	8	1	3828	546
CHD6	ENSG00000124177	ENST00000373233	protein_coding	1540	6747	17995	14940	7476	83	534	117	2	8424	17995	0	0	0	0	216	216	1953	7	1093	8	1	5338	117
CHD7	ENSG00000171316	ENST00000423902	protein_coding	1637	20257	20108	11472	2919	203	1437	117	2	8658	19856	0	0	0	13014	222	222	2007	7	1179	7	2	5929	117
CHD8	ENSG00000100888	ENST00000399982	protein_coding	1448	6575	16971	9828	1254	19	195	1566	2	8424	16971	0	0	0	0	216	216	1953	7	1001	8	1	5248	117
CHD9	ENSG00000177200	ENST00000398510	protein_coding	1753	18954	19213	15045	7668	38	261	117	2	8658	19096	0	0	0	12015	222	222	2007	7	1294	8	1	5674	117
CHDC2	ENSG00000176034	ENST00000378660	protein_coding	430	1738	4528	3249	783	0	0	117	0	2808	4528	0	0	0	0	72	72	657	0	278	8	1	1296	117
CHDH	ENSG00000016391	ENST00000315251	protein_coding	296	2342	3907	26232	16326	167	1314	5580	2	1872	3853	0	0	0	594	48	48	441	7	186	7	2	1298	1524
CHEK1	ENSG00000149554	ENST00000427383	protein_coding	368	1385	3235	10047	468	14	105	117	2	2574	3235	0	0	0	0	66	66	603	7	221	8	1	963	7311
CHEK2	ENSG00000183765	ENST00000382580	protein_coding	442	11848	3915	6489	402	41	228	117	2	3510	3834	0	0	0	10134	90	90	819	7	247	8	1	1184	2952
CHERP	ENSG00000085872	ENST00000198939	protein_coding	525	2498	6122	11196	3789	16	111	1944	2	6003	6122	0	0	0	0	96	96	873	7	318	8	1	1894	117
CHFR	ENSG00000072609	ENST00000432561	protein_coding	1367	6740	4327	5355	1737	29	222	117	2	3978	4318	0	888	0	4689	102	102	927	7	261	7	2	1388	117
CHGA	ENSG00000100604	ENST00000216492	protein_coding	291	2266	3352	13860	1227	101	840	10374	2	1638	2992	0	0	0	1341	42	42	387	7	192	8	1	920	117
CHGB	ENSG00000089199	ENST00000378961	protein_coding	399	1441	4535	2526	936	72	612	117	2	936	4535	0	0	0	0	24	24	225	7	336	8	1	1213	117
CHI3L1	ENSG00000133048	ENST00000255409	protein_coding	13927	7125	2536	6228	1542	53	378	2517	2	2106	2527	0	13680	0	5958	54	54	495	7	124	8	1	787	117
CHI3L2	ENSG00000064886	ENST00000369748	protein_coding	8943	6062	2628	2979	672	29	213	117	2	2340	2574	0	8658	0	4923	60	60	549	7	150	8	1	777	117
CHIA	ENSG00000134216	ENST00000343320	protein_coding	13927	12591	3149	2667	291	42	282	117	2	2340	3149	0	13620	0	11223	60	60	549	7	173	7	2	953	117
CHIC1	ENSG00000204116	ENST00000373502	protein_coding	187	655	1463	11613	10218	31	231	117	2	1170	1463	0	0	0	0	30	30	279	7	112	8	1	432	117
CHIC2	ENSG00000109220	ENST00000263921	protein_coding	159	1156	1104	3981	918	172	1170	117	2	1899	1086	0	0	0	504	30	30	279	7	84	8	1	306	117
CHID1	ENSG00000177830	ENST00000323541	protein_coding	315	1443	2754	8466	666	54	339	4926	2	3042	2754	0	0	0	0	78	78	711	7	144	8	1	900	117
CHIT1	ENSG00000133063	ENST00000367229	protein_coding	4098	7305	3068	4629	2430	17	105	117	2	2340	3059	0	3786	0	5976	60	60	549	7	177	8	1	949	117
CHKA	ENSG00000110721	ENST00000265689	protein_coding	5765	6465	3023	10860	3387	10	81	5229	2	2574	3014	0	5436	0	5148	66	66	603	7	182	8	1	908	117
CHKB	ENSG00000100288	ENST00000406938	protein_coding	1404	5967	2579	8598	696	68	654	5271	2	2340	2561	0	1104	0	4725	60	60	549	7	165	8	1	820	117
CHKB-CPT1B	ENSG00000254413	ENST00000453634	nonsense_mediated_decay	286	1229	393	18372	7566	0	0	516	0	5640	393	0	0	0	0	126	126	1143	0	26	8	1	121	5658
CHL1	ENSG00000134121	ENST00000256509	protein_coding	894	20839	8405	18270	11088	240	1926	117	2	6318	8054	0	0	0	17532	162	162	1467	7	556	7	2	2397	117
CHM	ENSG00000188419	ENST00000357749	protein_coding	479	1782	4324	13278	10350	9	90	117	2	3276	4315	0	0	0	9	84	84	765	7	297	7	2	1256	117
CHML	ENSG00000203668	ENST00000366553	protein_coding	315	1334	4357	17229	14829	66	492	117	2	0	4339	0	0	0	18	0	0	9	7	300	8	1	1256	1791
CHMP1A	ENSG00000131165	ENST00000253475	protein_coding	161	816	1501	7146	4428	60	399	117	2	1170	1501	0	0	0	0	30	30	279	7	86	8	1	564	1272
CHMP1B	ENSG00000255112	ENST00000526991	protein_coding	112	2052	1385	7596	7014	39	348	117	2	0	1340	0	36	0	1665	0	0	9	7	61	8	1	381	117
CHMP2A	ENSG00000130724	ENST00000600006	protein_coding	110	578	1508	16485	249	0	6	9642	0	687	1508	0	0	0	0	18	18	171	0	66	8	1	460	6045
CHMP2B	ENSG00000083937	ENST00000263780	protein_coding	170	1381	1465	8382	5178	94	714	1443	2	1170	1420	0	0	0	747	30	30	279	7	95	8	1	393	117
CHMP3	ENSG00000115561	ENST00000439940	protein_coding	205	5928	1701	15531	408	118	729	117	2	14496	1683	0	0	0	5067	42	42	387	7	106	8	1	461	117
